archivo,num_esporas,promedio_um,mediana_um,desv_um,min_um,max_um
m2_10_0.5k.tif,579,4.496172279753854,4.556928906332663,0.8445268466482575,1.0177199143327273,9.436607789780108
m2_1_0.5k.tif,484,5.028756953055992,5.104708507309677,0.6527239056994865,1.0662096311669949,7.545939175028301
m2_2_0.5k.tif,384,4.791937371563701,4.847069538100078,0.6925176174628809,0.9817636272451986,8.560224459609682
m2_3_0.5k.tif,457,4.44808532518241,4.4579890254365875,0.6904933405655086,2.0850334458977464,8.638851587091498
m2_4_0.5k.tif,463,4.604523168957219,4.66227652038799,0.7109352852229841,2.2749579981764367,7.874115699158474
m2_5_0.5k.tif,515,4.437690684071165,4.5499159963528735,0.7536370486014604,2.134099769516624,7.99154892654622
m2_6_0.5k.tif,900,3.6549805136783,3.6893552205636917,0.742988568627845,2.034784291951742,7.627049033706839
m2_7_0.5k.tif,809,4.296608321157949,4.37304840036761,0.7432658647908403,1.0662096311669949,6.939014459789824
m2_7_1.7k.tif,631,4.743209453809501,4.765584671734857,0.6334374139465369,1.0052320804861197,6.4209076191803955
m2_8_0.5k.tif,258,5.093355157775432,5.202743558679374,0.6466094911652589,1.2413700462991044,7.380074103348326
m2_9_0.5k.tif,685,4.438915518487218,4.551381821006482,0.8289544996186108,1.0052320804861197,8.163450053461217
